state,candidate_index,matches_observed_free_block,relay_block,free_block,full_anchor_set,sum_free,sum_free_mod15,gap_signature,relay_to_free_weight,c_to_free_weight,nearest_c_signature,nearest_relay_signature
O0,0,0,"[4, 5, 7]","[0, 1, 3]","[0, 1, 3, 4, 5, 7]",4,4,"1,2,12",12,10,"1,1,1","1,3,4"
O0,1,0,"[4, 5, 7]","[0, 1, 6]","[0, 1, 4, 5, 6, 7]",7,7,"1,5,9",7,9,"1,1,4","1,3,4"
O0,2,0,"[4, 5, 7]","[0, 1, 8]","[0, 1, 4, 5, 7, 8]",9,9,"1,7,7",10,15,"1,1,3","1,3,4"
O0,3,0,"[4, 5, 7]","[0, 1, 9]","[0, 1, 4, 5, 7, 9]",10,10,"1,6,8",7,9,"1,1,2","2,3,4"
O0,4,0,"[4, 5, 7]","[0, 1, 10]","[0, 1, 4, 5, 7, 10]",11,11,"1,5,9",10,8,"1,1,1","3,3,4"
O0,5,0,"[4, 5, 7]","[0, 1, 12]","[0, 1, 4, 5, 7, 12]",13,13,"1,3,11",9,7,"1,1,1","3,4,5"
O0,6,0,"[4, 5, 7]","[0, 1, 13]","[0, 1, 4, 5, 7, 13]",14,14,"1,2,12",11,12,"1,1,1","3,4,6"
O0,7,0,"[4, 5, 7]","[0, 3, 6]","[0, 3, 4, 5, 6, 7]",9,9,"3,3,9",8,10,"1,1,4","1,1,4"
O0,8,0,"[4, 5, 7]","[0, 3, 8]","[0, 3, 4, 5, 7, 8]",11,11,"3,5,7",11,16,"1,1,3","1,1,4"
O0,9,0,"[4, 5, 7]","[0, 3, 9]","[0, 3, 4, 5, 7, 9]",12,12,"3,6,6",8,10,"1,1,2","1,2,4"
O0,10,0,"[4, 5, 7]","[0, 3, 10]","[0, 3, 4, 5, 7, 10]",13,13,"3,5,7",11,9,"1,1,1","1,3,4"
O0,11,0,"[4, 5, 7]","[0, 3, 12]","[0, 3, 4, 5, 7, 12]",15,0,"3,3,9",10,8,"1,1,1","1,4,5"
O0,12,0,"[4, 5, 7]","[0, 3, 13]","[0, 3, 4, 5, 7, 13]",16,1,"2,3,10",12,13,"1,1,1","1,4,6"
O0,13,0,"[4, 5, 7]","[0, 6, 8]","[0, 4, 5, 6, 7, 8]",14,14,"2,6,7",6,15,"1,3,4","1,1,4"
O0,14,0,"[4, 5, 7]","[0, 6, 9]","[0, 4, 5, 6, 7, 9]",15,0,"3,6,6",3,9,"1,2,4","1,2,4"
O0,15,0,"[4, 5, 7]","[0, 6, 10]","[0, 4, 5, 6, 7, 10]",16,1,"4,5,6",6,8,"1,1,4","1,3,4"
O0,16,0,"[4, 5, 7]","[0, 6, 12]","[0, 4, 5, 6, 7, 12]",18,3,"3,6,6",5,7,"1,1,4","1,4,5"
O0,17,0,"[4, 5, 7]","[0, 6, 13]","[0, 4, 5, 6, 7, 13]",19,4,"2,6,7",7,12,"1,1,4","1,4,6"
O0,18,0,"[4, 5, 7]","[0, 8, 9]","[0, 4, 5, 7, 8, 9]",17,2,"1,6,8",6,15,"1,2,3","1,2,4"
O0,19,0,"[4, 5, 7]","[0, 8, 10]","[0, 4, 5, 7, 8, 10]",18,3,"2,5,8",9,14,"1,1,3","1,3,4"
O0,20,0,"[4, 5, 7]","[0, 8, 12]","[0, 4, 5, 7, 8, 12]",20,5,"3,4,8",8,13,"1,1,3","1,4,5"
O0,21,0,"[4, 5, 7]","[0, 8, 13]","[0, 4, 5, 7, 8, 13]",21,6,"2,5,8",10,18,"1,1,3","1,4,6"
O0,22,0,"[4, 5, 7]","[0, 9, 10]","[0, 4, 5, 7, 9, 10]",19,4,"1,5,9",6,8,"1,1,2","2,3,4"
O0,23,0,"[4, 5, 7]","[0, 9, 12]","[0, 4, 5, 7, 9, 12]",21,6,"3,3,9",5,7,"1,1,2","2,4,5"
O0,24,0,"[4, 5, 7]","[0, 9, 13]","[0, 4, 5, 7, 9, 13]",22,7,"2,4,9",7,12,"1,1,2","2,4,6"
O0,25,0,"[4, 5, 7]","[0, 10, 12]","[0, 4, 5, 7, 10, 12]",22,7,"2,3,10",8,6,"1,1,1","3,4,5"
O0,26,0,"[4, 5, 7]","[0, 10, 13]","[0, 4, 5, 7, 10, 13]",23,8,"2,3,10",10,11,"1,1,1","3,4,6"
O0,27,0,"[4, 5, 7]","[0, 12, 13]","[0, 4, 5, 7, 12, 13]",25,10,"1,2,12",9,10,"1,1,1","4,5,6"
O0,28,0,"[4, 5, 7]","[1, 3, 6]","[1, 3, 4, 5, 6, 7]",10,10,"2,3,10",9,7,"1,1,4","1,1,3"
O0,29,0,"[4, 5, 7]","[1, 3, 8]","[1, 3, 4, 5, 7, 8]",12,12,"2,5,8",12,13,"1,1,3","1,1,3"
O0,30,0,"[4, 5, 7]","[1, 3, 9]","[1, 3, 4, 5, 7, 9]",13,13,"2,6,7",9,7,"1,1,2","1,2,3"
O0,31,0,"[4, 5, 7]","[1, 3, 10]","[1, 3, 4, 5, 7, 10]",14,14,"2,6,7",12,6,"1,1,1","1,3,3"
O0,32,0,"[4, 5, 7]","[1, 3, 12]","[1, 3, 4, 5, 7, 12]",16,1,"2,4,9",11,5,"1,1,1","1,3,5"
O0,33,0,"[4, 5, 7]","[1, 3, 13]","[1, 3, 4, 5, 7, 13]",17,2,"2,3,10",13,10,"1,1,1","1,3,6"
O0,34,0,"[4, 5, 7]","[1, 6, 8]","[1, 4, 5, 6, 7, 8]",15,0,"2,5,8",7,12,"1,3,4","1,1,3"
O0,35,0,"[4, 5, 7]","[1, 6, 9]","[1, 4, 5, 6, 7, 9]",16,1,"3,5,7",4,6,"1,2,4","1,2,3"
O0,36,0,"[4, 5, 7]","[1, 6, 10]","[1, 4, 5, 6, 7, 10]",17,2,"4,5,6",7,5,"1,1,4","1,3,3"
O0,37,0,"[4, 5, 7]","[1, 6, 12]","[1, 4, 5, 6, 7, 12]",19,4,"4,5,6",6,4,"1,1,4","1,3,5"
O0,38,0,"[4, 5, 7]","[1, 6, 13]","[1, 4, 5, 6, 7, 13]",20,5,"3,5,7",8,9,"1,1,4","1,3,6"
O0,39,0,"[4, 5, 7]","[1, 8, 9]","[1, 4, 5, 7, 8, 9]",18,3,"1,7,7",7,12,"1,2,3","1,2,3"
O0,40,0,"[4, 5, 7]","[1, 8, 10]","[1, 4, 5, 7, 8, 10]",19,4,"2,6,7",10,11,"1,1,3","1,3,3"
O0,41,0,"[4, 5, 7]","[1, 8, 12]","[1, 4, 5, 7, 8, 12]",21,6,"4,4,7",9,10,"1,1,3","1,3,5"
O0,42,0,"[4, 5, 7]","[1, 8, 13]","[1, 4, 5, 7, 8, 13]",22,7,"3,5,7",11,15,"1,1,3","1,3,6"
O0,43,0,"[4, 5, 7]","[1, 9, 10]","[1, 4, 5, 7, 9, 10]",20,5,"1,6,8",7,5,"1,1,2","2,3,3"
O0,44,0,"[4, 5, 7]","[1, 9, 12]","[1, 4, 5, 7, 9, 12]",22,7,"3,4,8",6,4,"1,1,2","2,3,5"
O0,45,0,"[4, 5, 7]","[1, 9, 13]","[1, 4, 5, 7, 9, 13]",23,8,"3,4,8",8,9,"1,1,2","2,3,6"
O0,46,0,"[4, 5, 7]","[1, 10, 12]","[1, 4, 5, 7, 10, 12]",23,8,"2,4,9",9,3,"1,1,1","3,3,5"
O0,47,0,"[4, 5, 7]","[1, 10, 13]","[1, 4, 5, 7, 10, 13]",24,9,"3,3,9",11,8,"1,1,1","3,3,6"
O0,48,0,"[4, 5, 7]","[1, 12, 13]","[1, 4, 5, 7, 12, 13]",26,11,"1,3,11",10,7,"1,1,1","3,5,6"
O0,49,0,"[4, 5, 7]","[3, 6, 8]","[3, 4, 5, 6, 7, 8]",17,2,"2,3,10",8,13,"1,3,4","1,1,1"
O0,50,0,"[4, 5, 7]","[3, 6, 9]","[3, 4, 5, 6, 7, 9]",18,3,"3,3,9",5,7,"1,2,4","1,1,2"
O0,51,0,"[4, 5, 7]","[3, 6, 10]","[3, 4, 5, 6, 7, 10]",19,4,"3,4,8",8,6,"1,1,4","1,1,3"
O0,52,0,"[4, 5, 7]","[3, 6, 12]","[3, 4, 5, 6, 7, 12]",21,6,"3,6,6",7,5,"1,1,4","1,1,5"
O0,53,0,"[4, 5, 7]","[3, 6, 13]","[3, 4, 5, 6, 7, 13]",22,7,"3,5,7",9,10,"1,1,4","1,1,6"
O0,54,0,"[4, 5, 7]","[3, 8, 9]","[3, 4, 5, 7, 8, 9]",20,5,"1,5,9",8,13,"1,2,3","1,1,2"
O0,55,0,"[4, 5, 7]","[3, 8, 10]","[3, 4, 5, 7, 8, 10]",21,6,"2,5,8",11,12,"1,1,3","1,1,3"
O0,56,0,"[4, 5, 7]","[3, 8, 12]","[3, 4, 5, 7, 8, 12]",23,8,"4,5,6",10,11,"1,1,3","1,1,5"
O0,57,0,"[4, 5, 7]","[3, 8, 13]","[3, 4, 5, 7, 8, 13]",24,9,"5,5,5",12,16,"1,1,3","1,1,6"
O0,58,0,"[4, 5, 7]","[3, 9, 10]","[3, 4, 5, 7, 9, 10]",22,7,"1,6,8",8,6,"1,1,2","1,2,3"
O0,59,0,"[4, 5, 7]","[3, 9, 12]","[3, 4, 5, 7, 9, 12]",24,9,"3,6,6",7,5,"1,1,2","1,2,5"
O0,60,0,"[4, 5, 7]","[3, 9, 13]","[3, 4, 5, 7, 9, 13]",25,10,"4,5,6",9,10,"1,1,2","1,2,6"
O0,61,0,"[4, 5, 7]","[3, 10, 12]","[3, 4, 5, 7, 10, 12]",25,10,"2,6,7",10,4,"1,1,1","1,3,5"
O0,62,0,"[4, 5, 7]","[3, 10, 13]","[3, 4, 5, 7, 10, 13]",26,11,"3,5,7",12,9,"1,1,1","1,3,6"
