source_file,json_path,station_role,role_pair,edge_role,role_class,from_A,from_B,from_C,from_slot,from_fiber,to_A,to_B,to_C,to_slot,to_fiber,lift_q,from_fiber_mod15,to_fiber_mod15,C_delta_mod15,source_count
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[4],YZ,IW/YZ,,reverse_partner,0,10,1,10,1,0,1,10,1,10,0,1,10,9,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[5],YZ,IW/YZ,,reverse_partner,3,14,2,14,2,3,2,14,2,14,0,2,14,12,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[6],YZ,IW/YZ,,reverse_partner,10,0,5,0,5,10,5,0,5,0,3,5,0,10,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[7],YZ,IW/YZ,,reverse_partner,12,2,5,2,5,12,5,2,5,2,3,5,2,12,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[0],IW,IW/YZ,,shared_B,2,13,1,13,1,9,13,10,13,10,0,1,10,9,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[1],IW,IW/YZ,,shared_B,1,11,2,11,2,7,11,14,11,14,0,2,14,12,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[2],IW,IW/YZ,,shared_B,12,2,5,2,5,1,2,0,2,0,3,5,0,10,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[3],IW,IW/YZ,,shared_B,10,4,5,4,5,3,4,2,4,2,3,5,2,12,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[8],TI,TI/XY,,reverse_partner,12,5,2,5,2,12,2,5,2,5,0,2,5,3,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[9],TI,TI/XY,,reverse_partner,10,5,4,5,4,10,4,5,4,5,0,4,5,1,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[10],TI,TI/XY,,reverse_partner,1,2,11,2,11,1,11,2,11,2,3,11,2,6,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[11],TI,TI/XY,,reverse_partner,2,1,13,1,13,2,13,1,13,1,3,13,1,3,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[12],XY,TI/XY,,shared_B,1,0,2,0,2,10,0,5,0,5,0,2,5,3,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[13],XY,TI/XY,,shared_B,3,2,4,2,4,12,2,5,2,5,0,4,5,1,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[14],XY,TI/XY,,shared_B,7,14,11,14,11,3,14,2,14,2,3,11,2,6,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[15],XY,TI/XY,,shared_B,9,10,13,10,13,0,10,1,10,1,3,13,1,3,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[16],WX,WX/ZT,,reverse_partner,1,2,0,2,0,1,0,2,0,2,0,0,2,2,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[17],WX,WX/ZT,,reverse_partner,3,4,2,4,2,3,2,4,2,4,0,2,4,2,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[18],WX,WX/ZT,,reverse_partner,9,13,10,13,10,9,10,13,10,13,0,10,13,3,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[19],WX,WX/ZT,,reverse_partner,7,11,14,11,14,7,14,11,14,11,3,14,11,12,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[20],ZT,WX/ZT,,shared_B,10,5,0,5,0,12,5,2,5,2,0,0,2,2,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[21],ZT,WX/ZT,,shared_B,12,5,2,5,2,10,5,4,5,4,0,2,4,2,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[22],ZT,WX/ZT,,shared_B,0,1,10,1,10,2,1,13,1,13,0,10,13,3,1
source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_station_provenance_law_audit_010.v1.json,$.rows[23],ZT,WX/ZT,,shared_B,3,2,14,2,14,1,2,11,2,11,3,14,11,12,1
