state,candidate_index,matches_observed_cycle,support_sum,orientation_count,rank_by_best_support_sum_desc,relay_hit_overlap_count,unique_relay_hit_overlap_count,observed_residue_overlap_count,contains_all_unique_relay_hits,contains_any_unique_relay_hit,cycle
O0,0,0,14,6,1,3,0,6,1,0,"[[4, 9], [5, 12], [7, 8]]"
O0,1,1,13,6,2,3,0,6,1,0,"[[4, 5], [7, 12], [8, 9]]"
O0,2,0,13,6,3,3,0,6,1,0,"[[4, 9], [5, 8], [7, 12]]"
O0,3,0,12,6,4,3,0,6,1,0,"[[4, 7], [5, 12], [8, 9]]"
O0,4,0,12,6,5,3,0,6,1,0,"[[4, 8], [5, 9], [7, 12]]"
O0,5,0,12,6,6,3,0,6,1,0,"[[4, 8], [5, 12], [7, 9]]"
O0,6,0,12,6,7,3,0,6,1,0,"[[4, 12], [5, 9], [7, 8]]"
O0,7,0,11,6,8,3,0,6,1,0,"[[4, 5], [7, 8], [9, 12]]"
O0,8,0,11,6,9,3,0,6,1,0,"[[4, 12], [5, 7], [8, 9]]"
O0,9,0,11,6,10,3,0,6,1,0,"[[4, 12], [5, 8], [7, 9]]"
O0,10,0,10,6,11,3,0,6,1,0,"[[4, 5], [7, 9], [8, 12]]"
O0,11,0,10,6,12,3,0,6,1,0,"[[4, 9], [5, 7], [8, 12]]"
O0,12,0,9,6,13,3,0,6,1,0,"[[4, 7], [5, 8], [9, 12]]"
O0,13,0,9,6,14,3,0,6,1,0,"[[4, 7], [5, 9], [8, 12]]"
O1,0,0,19,6,1,3,0,6,1,0,"[[0, 13], [2, 4], [9, 14]]"
O1,1,0,17,6,2,3,0,6,1,0,"[[0, 2], [4, 13], [9, 14]]"
O1,2,0,17,6,3,3,0,6,1,0,"[[0, 13], [2, 14], [4, 9]]"
O1,3,1,16,6,4,3,0,6,1,0,"[[0, 2], [4, 9], [13, 14]]"
O1,4,0,16,6,5,3,0,6,1,0,"[[0, 2], [4, 14], [9, 13]]"
O1,5,0,16,6,6,3,0,6,1,0,"[[0, 9], [2, 4], [13, 14]]"
O1,6,0,16,6,7,3,0,6,1,0,"[[0, 13], [2, 9], [4, 14]]"
O1,7,0,16,6,8,3,0,6,1,0,"[[0, 14], [2, 4], [9, 13]]"
O1,8,0,15,6,9,3,0,6,1,0,"[[0, 9], [2, 14], [4, 13]]"
O1,9,0,14,6,10,3,0,6,1,0,"[[0, 9], [2, 13], [4, 14]]"
O1,10,0,14,6,11,3,0,6,1,0,"[[0, 14], [2, 9], [4, 13]]"
O1,11,0,14,6,12,3,0,6,1,0,"[[0, 14], [2, 13], [4, 9]]"
O1,12,0,13,6,13,3,0,6,1,0,"[[0, 4], [2, 13], [9, 14]]"
O1,13,0,13,6,14,3,0,6,1,0,"[[0, 4], [2, 14], [9, 13]]"
O1,14,0,12,6,15,3,0,6,1,0,"[[0, 4], [2, 9], [13, 14]]"
B0,0,0,11,2,1,2,1,5,1,1,"[[0], [2, 4], [3, 8]]"
B0,1,0,11,2,2,2,1,5,1,1,"[[0, 3], [2, 4], [8]]"
B0,2,0,10,2,3,2,1,5,1,1,"[[0, 2], [3, 8], [4]]"
B0,3,0,10,2,4,2,1,5,1,1,"[[0, 8], [2, 3], [4]]"
B0,4,0,9,2,5,2,1,5,1,1,"[[0], [2, 3], [4, 8]]"
B0,5,0,9,2,6,2,1,5,1,1,"[[0, 2], [3, 4], [8]]"
B0,6,0,9,2,7,2,1,5,1,1,"[[0, 3], [2], [4, 8]]"
B0,7,0,8,2,8,2,1,5,1,1,"[[0, 3], [2, 8], [4]]"
B0,8,1,8,2,9,2,1,5,1,1,"[[0, 4], [2], [3, 8]]"
B0,9,0,8,2,10,2,1,5,1,1,"[[0, 4], [2, 3], [8]]"
B0,10,0,7,2,11,2,1,5,1,1,"[[0], [2, 8], [3, 4]]"
B1,0,0,15,6,1,3,1,6,1,1,"[[2, 3], [7, 8], [10, 13]]"
B1,1,0,15,6,2,3,1,6,1,1,"[[2, 7], [3, 8], [10, 13]]"
B1,2,0,15,6,3,3,1,6,1,1,"[[2, 7], [3, 13], [8, 10]]"
B1,3,0,14,6,4,3,1,6,1,1,"[[2, 3], [7, 10], [8, 13]]"
B1,4,0,14,6,5,3,1,6,1,1,"[[2, 10], [3, 13], [7, 8]]"
B1,5,0,12,6,6,3,1,6,1,1,"[[2, 3], [7, 13], [8, 10]]"
B1,6,0,11,6,7,3,1,6,1,1,"[[2, 8], [3, 13], [7, 10]]"
B1,7,0,11,6,8,3,1,6,1,1,"[[2, 10], [3, 7], [8, 13]]"
B1,8,0,11,6,9,3,1,6,1,1,"[[2, 10], [3, 8], [7, 13]]"
B1,9,1,11,6,10,3,1,6,1,1,"[[2, 13], [3, 8], [7, 10]]"
B1,10,0,11,6,11,3,1,6,1,1,"[[2, 13], [3, 10], [7, 8]]"
B1,11,0,9,6,12,3,1,6,1,1,"[[2, 13], [3, 7], [8, 10]]"
B1,12,0,8,6,13,3,1,6,1,1,"[[2, 8], [3, 10], [7, 13]]"
