state,candidate_index,cycle,support_counts,support_sum,min_support,max_support,matches_observed_cycle
O0,0,"[[4, 5], [7, 8], [9, 12]]",6 3 2,11,2,6,0
O0,1,"[[4, 5], [7, 9], [8, 12]]",3 2 5,10,2,5,0
O0,2,"[[4, 5], [7, 12], [8, 9]]",5 5 3,13,3,5,1
O0,3,"[[4, 7], [5, 8], [9, 12]]",4 3 2,9,2,4,0
O0,4,"[[4, 7], [5, 9], [8, 12]]",2 3 4,9,2,4,0
O0,5,"[[4, 7], [5, 12], [8, 9]]",4 6 2,12,2,6,0
O0,6,"[[4, 8], [5, 9], [7, 12]]",2 3 7,12,2,7,0
O0,7,"[[4, 8], [5, 12], [7, 9]]",7 3 2,12,2,7,0
O0,8,"[[4, 9], [5, 7], [8, 12]]",3 1 6,10,1,6,0
O0,9,"[[4, 9], [5, 8], [7, 12]]",3 4 6,13,3,6,0
O0,10,"[[4, 9], [5, 12], [7, 8]]",5 5 4,14,4,5,0
O0,11,"[[4, 12], [5, 7], [8, 9]]",3 1 7,11,1,7,0
O0,12,"[[4, 12], [5, 8], [7, 9]]",6 1 4,11,1,6,0
O0,13,"[[4, 12], [5, 9], [7, 8]]",3 2 7,12,2,7,0
O1,0,"[[0, 2], [4, 9], [13, 14]]",6 3 7,16,3,7,1
O1,1,"[[0, 2], [4, 13], [9, 14]]",6 4 7,17,4,7,0
O1,2,"[[0, 2], [4, 14], [9, 13]]",7 3 6,16,3,7,0
O1,3,"[[0, 4], [2, 9], [13, 14]]",2 6 4,12,2,6,0
O1,4,"[[0, 4], [2, 13], [9, 14]]",2 7 4,13,2,7,0
O1,5,"[[0, 4], [2, 14], [9, 13]]",4 7 2,13,2,7,0
O1,6,"[[0, 9], [2, 4], [13, 14]]",6 7 3,16,3,7,0
O1,7,"[[0, 9], [2, 13], [4, 14]]",4 5 5,14,4,5,0
O1,8,"[[0, 9], [2, 14], [4, 13]]",5 6 4,15,4,6,0
O1,9,"[[0, 13], [2, 4], [9, 14]]",8 5 6,19,5,8,0
O1,10,"[[0, 13], [2, 9], [4, 14]]",6 2 8,16,2,8,0
O1,11,"[[0, 13], [2, 14], [4, 9]]",8 3 6,17,3,8,0
O1,12,"[[0, 14], [2, 4], [9, 13]]",7 6 3,16,3,7,0
O1,13,"[[0, 14], [2, 9], [4, 13]]",4 4 6,14,4,6,0
O1,14,"[[0, 14], [2, 13], [4, 9]]",5 4 5,14,4,5,0
B0,0,"[[0, 2], [3, 4], [8]]",3 2 4,9,2,4,0
B0,1,"[[0, 2], [3, 8], [4]]",4 3 3,10,3,4,0
B0,2,"[[0, 3], [2, 4], [8]]",5 5 1,11,1,5,0
B0,3,"[[0, 3], [2, 8], [4]]",2 2 4,8,2,4,0
B0,4,"[[0, 4], [2, 3], [8]]",2 3 3,8,2,3,0
B0,5,"[[0, 8], [2, 3], [4]]",4 1 5,10,1,5,0
B1,0,"[[2, 3], [7, 8], [10, 13]]",6 4 5,15,4,6,0
B1,1,"[[2, 3], [7, 10], [8, 13]]",5 3 6,14,3,6,0
B1,2,"[[2, 3], [7, 13], [8, 10]]",6 1 5,12,1,6,0
B1,3,"[[2, 7], [3, 8], [10, 13]]",6 1 8,15,1,8,0
B1,4,"[[2, 7], [3, 13], [8, 10]]",9 1 5,15,1,9,0
B1,5,"[[2, 8], [3, 10], [7, 13]]",1 4 3,8,1,4,0
B1,6,"[[2, 8], [3, 13], [7, 10]]",3 7 1,11,1,7,0
B1,7,"[[2, 10], [3, 7], [8, 13]]",2 3 6,11,2,6,0
B1,8,"[[2, 10], [3, 8], [7, 13]]",4 3 4,11,3,4,0
B1,9,"[[2, 10], [3, 13], [7, 8]]",4 6 4,14,4,6,0
B1,10,"[[2, 13], [3, 7], [8, 10]]",3 2 4,9,2,4,0
B1,11,"[[2, 13], [3, 8], [7, 10]]",3 4 4,11,3,4,1
B1,12,"[[2, 13], [3, 10], [7, 8]]",1 4 6,11,1,6,0
