state,candidate_index,cycle,support_sum_best_orientation,orientation_count,matches_observed_cycle,rank_by_best_support_sum_desc
O0,0,"[[4, 9], [5, 12], [7, 8]]",14,6,0,1
O0,1,"[[4, 5], [7, 12], [8, 9]]",13,6,1,2
O0,2,"[[4, 9], [5, 8], [7, 12]]",13,6,0,3
O0,3,"[[4, 7], [5, 12], [8, 9]]",12,6,0,4
O0,4,"[[4, 8], [5, 9], [7, 12]]",12,6,0,5
O0,5,"[[4, 8], [5, 12], [7, 9]]",12,6,0,6
O0,6,"[[4, 12], [5, 9], [7, 8]]",12,6,0,7
O0,7,"[[4, 5], [7, 8], [9, 12]]",11,6,0,8
O0,8,"[[4, 12], [5, 7], [8, 9]]",11,6,0,9
O0,9,"[[4, 12], [5, 8], [7, 9]]",11,6,0,10
O0,10,"[[4, 5], [7, 9], [8, 12]]",10,6,0,11
O0,11,"[[4, 9], [5, 7], [8, 12]]",10,6,0,12
O0,12,"[[4, 7], [5, 8], [9, 12]]",9,6,0,13
O0,13,"[[4, 7], [5, 9], [8, 12]]",9,6,0,14
O1,0,"[[0, 13], [2, 4], [9, 14]]",19,6,0,1
O1,1,"[[0, 2], [4, 13], [9, 14]]",17,6,0,2
O1,2,"[[0, 13], [2, 14], [4, 9]]",17,6,0,3
O1,3,"[[0, 2], [4, 9], [13, 14]]",16,6,1,4
O1,4,"[[0, 2], [4, 14], [9, 13]]",16,6,0,5
O1,5,"[[0, 9], [2, 4], [13, 14]]",16,6,0,6
O1,6,"[[0, 13], [2, 9], [4, 14]]",16,6,0,7
O1,7,"[[0, 14], [2, 4], [9, 13]]",16,6,0,8
O1,8,"[[0, 9], [2, 14], [4, 13]]",15,6,0,9
O1,9,"[[0, 9], [2, 13], [4, 14]]",14,6,0,10
O1,10,"[[0, 14], [2, 9], [4, 13]]",14,6,0,11
O1,11,"[[0, 14], [2, 13], [4, 9]]",14,6,0,12
O1,12,"[[0, 4], [2, 13], [9, 14]]",13,6,0,13
O1,13,"[[0, 4], [2, 14], [9, 13]]",13,6,0,14
O1,14,"[[0, 4], [2, 9], [13, 14]]",12,6,0,15
B0,0,"[[0], [2, 4], [3, 8]]",11,2,0,1
B0,1,"[[0, 3], [2, 4], [8]]",11,2,0,2
B0,2,"[[0, 2], [3, 8], [4]]",10,2,0,3
B0,3,"[[0, 8], [2, 3], [4]]",10,2,0,4
B0,4,"[[0], [2, 3], [4, 8]]",9,2,0,5
B0,5,"[[0, 2], [3, 4], [8]]",9,2,0,6
B0,6,"[[0, 3], [2], [4, 8]]",9,2,0,7
B0,7,"[[0, 3], [2, 8], [4]]",8,2,0,8
B0,8,"[[0, 4], [2], [3, 8]]",8,2,1,9
B0,9,"[[0, 4], [2, 3], [8]]",8,2,0,10
B0,10,"[[0], [2, 8], [3, 4]]",7,2,0,11
B1,0,"[[2, 3], [7, 8], [10, 13]]",15,6,0,1
B1,1,"[[2, 7], [3, 8], [10, 13]]",15,6,0,2
B1,2,"[[2, 7], [3, 13], [8, 10]]",15,6,0,3
B1,3,"[[2, 3], [7, 10], [8, 13]]",14,6,0,4
B1,4,"[[2, 10], [3, 13], [7, 8]]",14,6,0,5
B1,5,"[[2, 3], [7, 13], [8, 10]]",12,6,0,6
B1,6,"[[2, 8], [3, 13], [7, 10]]",11,6,0,7
B1,7,"[[2, 10], [3, 7], [8, 13]]",11,6,0,8
B1,8,"[[2, 10], [3, 8], [7, 13]]",11,6,0,9
B1,9,"[[2, 13], [3, 8], [7, 10]]",11,6,1,10
B1,10,"[[2, 13], [3, 10], [7, 8]]",11,6,0,11
B1,11,"[[2, 13], [3, 7], [8, 10]]",9,6,0,12
B1,12,"[[2, 8], [3, 10], [7, 13]]",8,6,0,13
