state,candidate_index,matches_observed_residue_set,residue_set,sum_residues,sum_mod15,c_overlap_signature,expected_c_overlap_exact,relay_hit_overlap_signature,contains_all_relay_hits,internal_supported_pair_count,internal_support_weight,boundary_supported_pair_count,boundary_support_weight
O0,0,0,"[0, 1, 2, 3, 4, 5]",15,0,2,0,"4,5",0,8,12,38,68
O0,1,0,"[0, 1, 2, 3, 4, 6]",16,1,2,0,4,0,8,13,38,68
O0,2,0,"[0, 1, 2, 3, 4, 7]",17,2,2,0,"4,7",0,8,15,39,66
O0,3,0,"[0, 1, 2, 3, 4, 8]",18,3,2,0,4,0,9,15,37,66
O0,4,0,"[0, 1, 2, 3, 4, 9]",19,4,2,0,4,0,8,13,38,68
O0,5,0,"[0, 1, 2, 3, 4, 10]",20,5,2,0,4,0,10,16,35,64
O0,6,0,"[0, 1, 2, 3, 4, 11]",21,6,"2,11",0,4,0,10,16,35,64
O0,7,0,"[0, 1, 2, 3, 4, 12]",22,7,2,0,4,0,8,15,38,66
O0,8,0,"[0, 1, 2, 3, 4, 13]",23,8,2,0,4,0,8,14,39,68
O0,9,0,"[0, 1, 2, 3, 4, 14]",24,9,"2,14",0,4,0,10,15,36,66
O0,10,0,"[0, 1, 2, 3, 5, 6]",17,2,2,0,5,0,8,12,35,66
O0,11,0,"[0, 1, 2, 3, 5, 7]",18,3,2,0,"5,7",0,8,13,36,66
O0,12,0,"[0, 1, 2, 3, 5, 8]",19,4,2,0,5,0,9,13,34,66
O0,13,0,"[0, 1, 2, 3, 5, 9]",20,5,2,0,5,0,8,12,35,66
O0,14,0,"[0, 1, 2, 3, 5, 10]",21,6,2,0,5,0,9,13,34,66
O0,15,0,"[0, 1, 2, 3, 5, 11]",22,7,"2,11",0,5,0,10,17,32,58
O0,16,0,"[0, 1, 2, 3, 5, 12]",23,8,2,0,5,0,7,12,37,68
O0,17,0,"[0, 1, 2, 3, 5, 13]",24,9,2,0,5,0,7,12,38,68
