state,step,from_c,to_c,directed_residue_supported,directed_residue_support_count,undirected_residue_supported,undirected_residue_support_count,directed_examples,undirected_examples
B0,0,2,5,0,0,0,0,,
B0,1,5,0,0,0,0,0,,
B0,2,0,2,1,1,1,1,"(45, 2)","(2, 45)"
B1,0,4,5,1,1,1,1,"(34, 20)","(20, 34)"
B1,1,5,2,0,0,0,0,,
B1,2,2,4,0,0,0,0,,
O0,0,11,2,1,2,1,2,"(11, 17) (41, 47)","(11, 17) (41, 47)"
O0,1,2,14,1,2,1,2,"(17, 59) (32, 44)","(17, 59) (32, 44)"
O0,2,14,11,0,0,0,0,,
O1,0,13,1,1,2,1,2,"(58, 16) (43, 31)","(16, 58) (31, 43)"
O1,1,1,10,1,2,1,2,"(16, 55) (31, 40)","(16, 55) (31, 40)"
O1,2,10,13,0,0,0,0,,
