state,shell_bit,rank_bit,step,from_c,to_c,observed_direct_residue_support,predicted_direct_residue_support,prediction_match,residue_distance,residue_shortest_path
B0,1,0,0,2,5,0,0,1,2,2 8 5
B0,1,0,1,5,0,0,0,1,2,5 1 0
B0,1,0,2,0,2,1,1,1,1,0 2
B1,1,1,0,4,5,1,1,1,1,4 5
B1,1,1,1,5,2,0,0,1,2,5 8 2
B1,1,1,2,2,4,0,0,1,2,2 0 4
O0,0,0,0,11,2,1,1,1,1,11 2
O0,0,0,1,2,14,1,1,1,1,2 14
O0,0,0,2,14,11,0,0,1,2,14 0 11
O1,0,1,0,13,1,1,1,1,1,13 1
O1,0,1,1,1,10,1,1,1,1,1 10
O1,0,1,2,10,13,0,0,1,2,10 1 13
