state,shell_bit,rank_bit,step,from_c,mediator,to_c,left_support_count,right_support_count,path
B0,1,0,0,2,8,5,3,1,2 8 5
B0,1,0,0,2,11,5,2,3,2 11 5
B0,1,0,0,2,14,5,2,3,2 14 5
B0,1,0,1,5,1,0,2,2,5 1 0
B0,1,0,1,5,4,0,1,3,5 4 0
B0,1,0,1,5,8,0,1,1,5 8 0
B0,1,0,1,5,11,0,3,2,5 11 0
B0,1,0,1,5,14,0,3,2,5 14 0
B1,1,1,1,5,8,2,1,3,5 8 2
B1,1,1,1,5,11,2,3,2,5 11 2
B1,1,1,1,5,14,2,3,2,5 14 2
B1,1,1,2,2,0,4,1,3,2 0 4
B1,1,1,2,2,8,4,3,2,2 8 4
B1,1,1,2,2,10,4,1,2,2 10 4
B1,1,1,2,2,11,4,2,1,2 11 4
B1,1,1,2,2,13,4,3,1,2 13 4
B1,1,1,2,2,14,4,2,1,2 14 4
O0,0,0,2,14,0,11,2,2,14 0 11
O0,0,0,2,14,1,11,1,1,14 1 11
O0,0,0,2,14,2,11,2,2,14 2 11
O0,0,0,2,14,3,11,1,2,14 3 11
O0,0,0,2,14,4,11,1,1,14 4 11
O0,0,0,2,14,5,11,3,3,14 5 11
O0,0,0,2,14,7,11,2,2,14 7 11
O0,0,0,2,14,8,11,2,3,14 8 11
O1,0,1,2,10,1,13,2,2,10 1 13
O1,0,1,2,10,2,13,1,3,10 2 13
O1,0,1,2,10,4,13,2,1,10 4 13
O1,0,1,2,10,6,13,3,2,10 6 13
O1,0,1,2,10,7,13,1,3,10 7 13
O1,0,1,2,10,9,13,4,1,10 9 13
