target,kind,feature,l1_error,values
relay_size,nearest,c_nearest_mediator_dist_size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
relay_size,nearest,c_values_size,1,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
relay_size,nearest,c_nearest_mediator_dist_max,2,"{""B0"": 1, ""B1"": 4, ""O0"": 3, ""O1"": 3}"
relay_size,nearest,c_nearest_mediator_dist_range,3,"{""B0"": 0, ""B1"": 2, ""O0"": 3, ""O1"": 3}"
relay_size,nearest,mediator_nearest_c_dist_range,4,"{""B0"": 3, ""B1"": 4, ""O0"": 4, ""O1"": 4}"
relay_size,nearest,mediator_row_count,5,"{""B0"": 2, ""B1"": 2, ""O0"": 1, ""O1"": 1}"
relay_size,nearest,mediator_row_hit_c_counts_size,5,"{""B0"": 2, ""B1"": 2, ""O0"": 1, ""O1"": 1}"
relay_size,nearest,mediator_row_maxs_size,5,"{""B0"": 2, ""B1"": 2, ""O0"": 1, ""O1"": 1}"
relay_size,nearest,mediator_row_mins_size,5,"{""B0"": 2, ""B1"": 2, ""O0"": 1, ""O1"": 1}"
relay_size,nearest,mediator_row_sizes_size,5,"{""B0"": 2, ""B1"": 2, ""O0"": 1, ""O1"": 1}"
relay_sum,nearest,mediator_nearest_c_dist_sum,14,"{""B0"": 10, ""B1"": 23, ""O0"": 15, ""O1"": 12}"
relay_sum,nearest,missing_from_u_max,23,"{""B0"": 13, ""B1"": 12, ""O0"": 14, ""O1"": 14}"
relay_sum,nearest,u_union_c_max,23,"{""B0"": 14, ""B1"": 14, ""O0"": 14, ""O1"": 13}"
relay_sum,nearest,missing_from_u_minus_c_max,24,"{""B0"": 13, ""B1"": 12, ""O0"": 13, ""O1"": 14}"
relay_sum,nearest,u_union_c_range,24,"{""B0"": 14, ""B1"": 14, ""O0"": 14, ""O1"": 12}"
relay_sum,nearest,u_minus_c_sum_mod15,29,"{""B0"": 8, ""B1"": 11, ""O0"": 13, ""O1"": 13}"
relay_sum,nearest,missing_from_u_range,30,"{""B0"": 13, ""B1"": 11, ""O0"": 8, ""O1"": 14}"
relay_sum,nearest,missing_from_u_minus_c_range,32,"{""B0"": 10, ""B1"": 11, ""O0"": 7, ""O1"": 14}"
relay_sum,nearest,mediator_row_maxs_max,33,"{""B0"": 14, ""B1"": 14, ""O0"": 8, ""O1"": 9}"
relay_sum,nearest,mediator_row_maxs_min,33,"{""B0"": 14, ""B1"": 14, ""O0"": 8, ""O1"": 9}"
relay_min,nearest,c_nearest_mediator_dist_sum,4,"{""B0"": 3, ""B1"": 9, ""O0"": 4, ""O1"": 4}"
relay_min,nearest,c_nearest_mediator_dist_sum_mod15,4,"{""B0"": 3, ""B1"": 9, ""O0"": 4, ""O1"": 4}"
relay_min,nearest,mediator_nearest_c_dist_max,4,"{""B0"": 4, ""B1"": 6, ""O0"": 4, ""O1"": 4}"
relay_min,nearest,mediator_nearest_c_dist_range,7,"{""B0"": 3, ""B1"": 4, ""O0"": 4, ""O1"": 4}"
relay_min,nearest,c_nearest_mediator_dist_size,8,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
relay_min,nearest,c_values_size,8,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
relay_min,nearest,c_nearest_mediator_dist_max,9,"{""B0"": 1, ""B1"": 4, ""O0"": 3, ""O1"": 3}"
relay_min,nearest,mediator_row_mins_max,9,"{""B0"": 8, ""B1"": 8, ""O0"": 0, ""O1"": 1}"
relay_min,nearest,mediator_row_mins_range,9,"{""B0"": 7, ""B1"": 8, ""O0"": 0, ""O1"": 0}"
relay_min,nearest,u_minus_c_size,9,"{""B0"": 5, ""B1"": 6, ""O0"": 7, ""O1"": 5}"
relay_max,nearest,mediator_row_maxs_sum_mod15,6,"{""B0"": 13, ""B1"": 13, ""O0"": 8, ""O1"": 9}"
relay_max,nearest,missing_from_u_size,6,"{""B0"": 10, ""B1"": 9, ""O0"": 7, ""O1"": 9}"
relay_max,nearest,c_values_sum_mod15,8,"{""B0"": 7, ""B1"": 11, ""O0"": 12, ""O1"": 9}"
