candidate_index,matches_observed,residue_set,sum_residues,sum_mod15,gap_signature,relay_block_signature,free_block_signature,c_overlap_signature,no_c_overlap,nearest_c_distance_signature,sum_nearest_c_distance,internal_support_weight,boundary_support_weight,c_cut_weight,free_to_c_weight,relay_to_free_weight
0,0,"[0, 1, 2, 3, 4, 5]",15,0,"1,1,1,1,1,10","4,5","0,1,2,3",2,0,"0,1,1,1,2,3",8,12,68,22,14,7
1,0,"[0, 1, 2, 3, 4, 6]",16,1,"1,1,1,1,2,9",4,"0,1,2,3,6",2,0,"0,1,1,1,2,4",9,13,68,18,16,4
2,0,"[0, 1, 2, 3, 4, 7]",17,2,"1,1,1,1,3,8","4,7","0,1,2,3",2,0,"0,1,1,1,2,4",9,15,66,20,14,9
3,0,"[0, 1, 2, 3, 4, 8]",18,3,"1,1,1,1,4,7",4,"0,1,2,3,8",2,0,"0,1,1,1,2,3",8,15,66,24,22,6
4,0,"[0, 1, 2, 3, 4, 9]",19,4,"1,1,1,1,5,6",4,"0,1,2,3,9",2,0,"0,1,1,1,2,2",7,13,68,18,16,4
5,0,"[0, 1, 2, 3, 4, 10]",20,5,"1,1,1,1,5,6",4,"0,1,2,3,10",2,0,"0,1,1,1,1,2",6,16,64,17,15,6
6,0,"[0, 1, 2, 3, 4, 11]",21,6,"1,1,1,1,4,7",4,"0,1,2,3,11","2,11",0,"0,0,1,1,1,2",5,16,64,18,16,5
7,0,"[0, 1, 2, 3, 4, 12]",22,7,"1,1,1,1,3,8",4,"0,1,2,3,12",2,0,"0,1,1,1,1,2",6,15,66,16,14,6
8,0,"[0, 1, 2, 3, 4, 13]",23,8,"1,1,1,1,2,9",4,"0,1,2,3,13",2,0,"0,1,1,1,1,2",6,14,68,21,19,5
9,0,"[0, 1, 2, 3, 4, 14]",24,9,"1,1,1,1,1,10",4,"0,1,2,3,14","2,14",0,"0,0,1,1,1,2",5,15,66,18,16,5
10,0,"[0, 1, 2, 3, 5, 6]",17,2,"1,1,1,1,2,9",5,"0,1,2,3,6",2,0,"0,1,1,1,3,4",10,12,66,22,16,3
11,0,"[0, 1, 2, 3, 5, 7]",18,3,"1,1,1,2,2,8","5,7","0,1,2,3",2,0,"0,1,1,1,3,4",10,13,66,24,14,8
12,0,"[0, 1, 2, 3, 5, 8]",19,4,"1,1,1,2,3,7",5,"0,1,2,3,8",2,0,"0,1,1,1,3,3",9,13,66,28,22,4
13,0,"[0, 1, 2, 3, 5, 9]",20,5,"1,1,1,2,4,6",5,"0,1,2,3,9",2,0,"0,1,1,1,2,3",8,12,66,22,16,3
14,0,"[0, 1, 2, 3, 5, 10]",21,6,"1,1,1,2,5,5",5,"0,1,2,3,10",2,0,"0,1,1,1,1,3",7,13,66,21,15,3
15,0,"[0, 1, 2, 3, 5, 11]",22,7,"1,1,1,2,4,6",5,"0,1,2,3,11","2,11",0,"0,0,1,1,1,3",6,17,58,22,16,6
16,0,"[0, 1, 2, 3, 5, 12]",23,8,"1,1,1,2,3,7",5,"0,1,2,3,12",2,0,"0,1,1,1,1,3",7,12,68,20,14,3
17,0,"[0, 1, 2, 3, 5, 13]",24,9,"1,1,1,2,2,8",5,"0,1,2,3,13",2,0,"0,1,1,1,1,3",7,12,68,25,19,3
