rank,relation_name,edge_count,component_count,purity_total,score,exact_partition,ordered_exact_by_boundary_gap,majority_order_by_boundary_gap,components
1,share_endpoint:from_C|to_C,56,6,16,-16,False,False,"[0, 1, 1, 1, 2, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 8}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 4}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 8}]"
2,share_endpoint:from_fiber|to_fiber,56,6,16,-16,False,False,"[0, 1, 1, 1, 2, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 8}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 4}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 8}]"
3,same_field:derived.C_delta_mod15,40,7,18,-18,False,False,"[2, 0, 0, 1, 1, 2, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 6}]"
4,same_field:edge_role,36,6,6,-18,False,False,"[0, 0, 0, 0, 0, 0]","[{""form_counts"": {""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 4}, {""form_counts"": {""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}, ""gap"": -1, ""majority_form"": 0, ""row_count"": 4}, {""form_counts"": {""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}, ""gap"": -3, ""majority_form"": 0, ""row_count"": 4}, {""form_counts"": {""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}, ""gap"": -2, ""majority_form"": 0, ""row_count"": 4}, {""form_counts"": {""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}, ""gap"": 13, ""majority_form"": 0, ""row_count"": 4}, {""form_counts"": {""0"": 1, ""1"": 1, ""2"": 1, ""3"": 1}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 4}]"
5,share_endpoint:from_A|to_A,56,2,12,-24,False,False,"[1, 0]","[{""form_counts"": {""1"": 6}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 6}, {""form_counts"": {""0"": 6, ""2"": 6, ""3"": 6}, ""gap"": 13, ""majority_form"": 0, ""row_count"": 18}]"
6,share_endpoint:from_B|to_B,56,2,12,-24,False,False,"[1, 0]","[{""form_counts"": {""1"": 6}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 6}, {""form_counts"": {""0"": 6, ""2"": 6, ""3"": 6}, ""gap"": 13, ""majority_form"": 0, ""row_count"": 18}]"
7,share_endpoint:from_slot|to_slot,56,2,12,-24,False,False,"[1, 0]","[{""form_counts"": {""1"": 6}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 6}, {""form_counts"": {""0"": 6, ""2"": 6, ""3"": 6}, ""gap"": 13, ""majority_form"": 0, ""row_count"": 18}]"
8,share_endpoint:from_A|to_A|from_B|to_B,112,2,12,-24,False,False,"[1, 0]","[{""form_counts"": {""1"": 6}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 6}, {""form_counts"": {""0"": 6, ""2"": 6, ""3"": 6}, ""gap"": 13, ""majority_form"": 0, ""row_count"": 18}]"
9,share_endpoint:from_C|to_C|from_slot|to_slot,112,2,12,-24,False,False,"[1, 0]","[{""form_counts"": {""1"": 6}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 6}, {""form_counts"": {""0"": 6, ""2"": 6, ""3"": 6}, ""gap"": 13, ""majority_form"": 0, ""row_count"": 18}]"
10,same_field:derived.inside_captured_row,181,2,8,-30,False,False,"[0, 2]","[{""form_counts"": {""1"": 1, ""2"": 2, ""3"": 2}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 5}, {""form_counts"": {""0"": 6, ""1"": 5, ""2"": 4, ""3"": 4}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 19}]"
11,same_field:from_A,28,8,16,-32,False,False,"[0, 1, 1, 1, 2, 0, 0, 2]","[{""form_counts"": {""0"": 2}, ""gap"": -48, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""3"": 2}, ""gap"": 12, ""majority_form"": 0, ""row_count"": 4}, {""form_counts"": {""0"": 2, ""2"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 4}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 10, ""majority_form"": 2, ""row_count"": 4}]"
12,same_field:to_A,28,8,16,-32,False,False,"[0, 1, 1, 1, 0, 0, 2, 2]","[{""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 4}, {""form_counts"": {""0"": 2, ""2"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 4}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 4}]"
13,same_field:fiber_delta_mod60,24,9,18,-42,False,False,"[0, 2, 0, 1, 0, 1, 1, 2, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""0"": 2, ""3"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 4}, {""form_counts"": {""1"": 2, ""2"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 4}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 4}]"
14,same_field:from_B,28,9,18,-42,False,False,"[0, 0, 1, 2, 1, 1, 3, 0, 2]","[{""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -9, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 2, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 11, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": 13, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 12, ""majority_form"": 0, ""row_count"": 6}]"
15,same_field:from_C,28,9,18,-42,False,False,"[0, 2, 0, 1, 1, 1, 2, 0, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 6}]"
16,same_field:from_fiber,28,9,18,-42,False,False,"[0, 2, 0, 1, 1, 1, 2, 0, 3]","[{""form_counts"": {""0"": 2}, ""gap"": -54, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""0"": 2}, ""gap"": -42, ""majority_form"": 0, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": 9, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -36, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""1"": 2}, ""gap"": -3, ""majority_form"": 1, ""row_count"": 2}, {""form_counts"": {""2"": 2}, ""gap"": 11, ""majority_form"": 2, ""row_count"": 2}, {""form_counts"": {""3"": 2}, ""gap"": 13, ""majority_form"": 3, ""row_count"": 2}, {""form_counts"": {""2"": 2, ""3"": 2}, ""gap"": -50, ""majority_form"": 2, ""row_count"": 4}, {""form_counts"": {""0"": 2, ""2"": 2, ""3"": 2}, ""gap"": 11, ""majority_form"": 0, ""row_count"": 6}]"
