target,kind,feature,a,c,l1_error,feature_values,corrected_values
free_min,exact,op__q3__from_A__union_cpath__range,-1,12,0,"{""B0"": 12, ""B1"": 10, ""O0"": 13, ""O1"": 12}","{""B0"": 0, ""B1"": 2, ""O0"": 8, ""O1"": 0}"
free_min,nearest,onehot__B1,2,0,1,"{""B0"": 0, ""B1"": 1, ""O0"": 0, ""O1"": 0}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
free_min,nearest,bit__product_br,2,0,1,"{""B0"": 0, ""B1"": 1, ""O0"": 0, ""O1"": 0}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
free_min,nearest,op__reverse__B_delta__minus_cpath__size,2,-4,1,"{""B0"": 2, ""B1"": 3, ""O0"": 2, ""O1"": 2}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
free_min,nearest,op__reverse__slot_delta__minus_cpath__size,2,-4,1,"{""B0"": 2, ""B1"": 3, ""O0"": 2, ""O1"": 2}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
free_min,nearest,op__reverse__B_delta__union_cpath__size,2,-10,1,"{""B0"": 5, ""B1"": 6, ""O0"": 5, ""O1"": 5}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
free_min,nearest,op__reverse__slot_delta__union_cpath__size,2,-10,1,"{""B0"": 5, ""B1"": 6, ""O0"": 5, ""O1"": 5}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
free_min,nearest,op__all__to_A__union_cpath__range,-1,12,1,"{""B0"": 12, ""B1"": 10, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 8, ""O1"": -1}"
free_min,nearest,op__q0__from_A__union_cpath__range,-1,12,1,"{""B0"": 12, ""B1"": 10, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 8, ""O1"": -1}"
free_min,nearest,op__all__from_A__union_cpath__range,-1,12,1,"{""B0"": 12, ""B1"": 10, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 8, ""O1"": -1}"
free_min,nearest,op__shared__to_A__union_cpath__range,-1,12,1,"{""B0"": 12, ""B1"": 10, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 8, ""O1"": -1}"
free_min,nearest,op__reverse__to_A__union_cpath__range,-1,12,1,"{""B0"": 12, ""B1"": 10, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 8, ""O1"": -1}"
free_min,nearest,op__shared__from_A__union_cpath__range,-1,12,1,"{""B0"": 12, ""B1"": 10, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 8, ""O1"": -1}"
free_min,nearest,op__reverse__from_A__union_cpath__range,-1,12,1,"{""B0"": 12, ""B1"": 10, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 8, ""O1"": -1}"
free_min,nearest,op__rolepair_TI_XY__to_A__union_cpath__range,-1,12,1,"{""B0"": 12, ""B1"": 10, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 8, ""O1"": -1}"
free_min,nearest,op__rolepair_IW_YZ__from_A__union_cpath__range,-1,12,1,"{""B0"": 12, ""B1"": 10, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 8, ""O1"": -1}"
free_min,nearest,set__q0__B_delta__compl_range,-1,13,1,"{""B0"": 13, ""B1"": 11, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
free_min,nearest,set__all__B_delta__compl_range,-1,13,1,"{""B0"": 13, ""B1"": 11, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
free_min,nearest,set__q0__slot_delta__compl_range,-1,13,1,"{""B0"": 13, ""B1"": 11, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
free_min,nearest,set__all__slot_delta__compl_range,-1,13,1,"{""B0"": 13, ""B1"": 11, ""O0"": 13, ""O1"": 13}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
free_min,nearest,set__q0__B_delta__compl_max,-1,14,1,"{""B0"": 14, ""B1"": 12, ""O0"": 14, ""O1"": 14}","{""B0"": 0, ""B1"": 2, ""O0"": 9, ""O1"": 0}"
