rank,file,score,dict_count_scanned,target_key_counts,role_token_counts,state_token_counts,example_count
1,artifacts/json/gap_a_direct_anchor_selector_assault_027.v1.json,18,95,"{""from_C"": 6, ""state"": 4, ""to_C"": 6}","{""I"": 1, ""T"": 6}","{""B0"": 1, ""B1"": 1, ""O0"": 1, ""O1"": 1}",6
2,artifacts/json/native_g60_anchor_lift_mask_sheet_selector_018.v1.json,14,159,"{""sheet"": 32, ""state"": 107}","{""I"": 1, ""T"": 126}","{""B0"": 29, ""B1"": 32, ""O0"": 26, ""O1"": 26}",0
3,source/project22_artifacts/json/lift_twist_local_answer_cell_bit_law_007.v1.json,14,8,"{""state"": 4}","{""I"": 1, ""T"": 6, ""W"": 1}","{""B0"": 2, ""B1"": 2, ""O0"": 2, ""O1"": 2}",0
4,source/project22_artifacts/json/lift_twist_payload_overlap_marker_law_008.v1.json,14,9,"{""state"": 4}","{""I"": 1, ""T"": 6, ""W"": 1}","{""B0"": 2, ""B1"": 2, ""O0"": 2, ""O1"": 2}",0
5,source/project22_artifacts/json/lift_twist_c_payload_path_law_009.v1.json,14,9,"{""state"": 4}","{""I"": 1, ""T"": 6, ""W"": 1}","{""B0"": 2, ""B1"": 2, ""O0"": 2, ""O1"": 2}",0
6,source/project22_artifacts/json/lift_twist_anchor_residue_set_law_010.v1.json,14,9,"{""state"": 4}","{""I"": 1, ""T"": 6, ""W"": 1}","{""B0"": 2, ""B1"": 2, ""O0"": 2, ""O1"": 2}",0
7,artifacts/json/native_g60_anchor_path_lift_mask_mediator_class_010.v1.json,13,48,"{""source"": 4, ""state"": 40}","{""I"": 1, ""T"": 14}","{""B0"": 11, ""B1"": 13, ""O0"": 12, ""O1"": 8}",0
8,artifacts/json/native_g60_c_path_residue_two_hop_relay_007.v1.json,13,74,"{""state"": 37}","{""I"": 1, ""T"": 8}","{""B0"": 11, ""B1"": 12, ""O0"": 10, ""O1"": 8}",0
9,artifacts/json/native_g60_c_path_quotient_anchor_cover_012.v1.json,13,43,"{""state"": 27}","{""I"": 1, ""T"": 29}","{""B0"": 7, ""B1"": 8, ""O0"": 6, ""O1"": 6}",0
10,artifacts/json/native_g60_unlifted_anchor_relay_cover_011.v1.json,13,29,"{""state"": 26}","{""I"": 1, ""T"": 14}","{""B0"": 8, ""B1"": 9, ""O0"": 8, ""O1"": 5}",0
11,artifacts/json/native_g60_c_path_residue_support_004.v1.json,13,20,"{""state"": 12}","{""I"": 1, ""T"": 12}","{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}",0
12,artifacts/json/native_g60_c_path_residue_distance_005.v1.json,13,21,"{""state"": 12}","{""I"": 1, ""T"": 12}","{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}",0
13,artifacts/json/native_g60_c_path_residue_support_bit_law_006.v1.json,13,16,"{""state"": 12}","{""I"": 1, ""T"": 14}","{""B0"": 4, ""B1"": 4, ""O0"": 4, ""O1"": 4}",0
14,artifacts/json/native_g60_anchor_path_mediator_position_009.v1.json,13,92,"{""state"": 12}","{""I"": 1, ""T"": 15}","{""B0"": 5, ""B1"": 5, ""O0"": 3, ""O1"": 3}",0
15,artifacts/json/native_g60_c_relay_anchor_mediation_008.v1.json,13,9,"{""state"": 6}","{""I"": 1, ""T"": 8}","{""B0"": 3, ""B1"": 3, ""O0"": 2, ""O1"": 2}",0
16,artifacts/json/native_g60_anchor_candidate_feature_audit_021.v1.json,12,69,"{""state"": 57}","{""I"": 1, ""T"": 59}","{""B0"": 13, ""B1"": 15, ""O0"": 16, ""O1"": 17}",0
17,source/project22_artifacts/json/lift_twist_local_answer_cell_generator_theorem_011.v1.json,12,28,"{""state"": 24}","{""I"": 1, ""T"": 10}","{""B0"": 6, ""B1"": 6, ""O0"": 6, ""O1"": 6}",0
18,artifacts/json/native_g60_anchor_rank_selector_theorem_023.v1.json,12,12,"{""state"": 8}","{""I"": 1, ""T"": 10}","{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}",0
