target,kind,feature,l1_error,values
free_size,direct_exact,all_C_int_delta_unique_count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_fiber_int_delta_unique_count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_fiber_mod_delta_unique_count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_from_A_unique_count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_from_B_unique_count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_from_C_unique_count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_from_fiber_mod15_unique_count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_from_fiber_unique_count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_from_slot_unique_count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_lift_q_max,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_lift_q_range,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_lift_q_unique_max,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_lift_q_unique_range,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_lift_q_unique_sum,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_lift_q_unique_sum_mod15,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
free_size,direct_exact,all_role_pair_count,0,"{""B0"": 3, ""B1"": 3, ""O0"": 3, ""O1"": 3}"
