rank,key_name,group_count,purity_total,score,exact_aggregation,ordered_exact_by_boundary_gap,majority_order_by_boundary_gap,groups
1,C_delta_mod15_mod_2|C_delta_mod15_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(1, 3)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(0, 2)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 1)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
2,C_delta_mod15_mod_2|outside_boundary_span_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 3)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(0, 1)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
3,C_delta_mod15_mod_2|slot_max_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 3)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(0, 1)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
4,C_delta_mod15_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""0"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""3"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""2"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""1"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
5,C_delta_mod15_mod_4|base_component_id_floor_div_6,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
6,C_delta_mod15_mod_4|from_C_sum_mod_2,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
7,C_delta_mod15_mod_4|lift_q_signature,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, '')"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, '')"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, '')"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, '')"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
8,C_delta_mod15_mod_4|outside_boundary_span_mod_2,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 1)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 1)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
9,C_delta_mod15_mod_4|outside_boundary_span_mod_4,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 3)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 1)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 2)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
10,C_delta_mod15_mod_4|outside_plus_inside_mod3,4,14,10,False,False,"[0, 1, 2, 1]","[{""form_counts"": {""0"": 4, ""3"": 2}, ""gap"": -9, ""key"": ""(0, 0)"", ""majority_form"": 0, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""1"": 4, ""2"": 2}, ""gap"": 9, ""key"": ""(3, 0)"", ""majority_form"": 1, ""microcell_count"": 3, ""row_count"": 6}, {""form_counts"": {""0"": 2, ""2"": 4, ""3"": 2}, ""gap"": 11, ""key"": ""(2, 0)"", ""majority_form"": 2, ""microcell_count"": 4, ""row_count"": 8}, {""form_counts"": {""1"": 2, ""3"": 2}, ""gap"": 13, ""key"": ""(1, 0)"", ""majority_form"": 1, ""microcell_count"": 2, ""row_count"": 4}]"
